Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2016,5.9%,5.9%,5.7%,4.8%,4.4%,5.1%,5.6%,5.7%,5.8%,5.6%,,,,
2015,6.9%,6.7%,6.1%,5.8%,5.7%,5.5%,5.7%,5.3%,4.9%,5.1%,5.2%,5%,5.7%,
2014,8.2%,8.5%,8%,7%,7.2%,7.2%,7.5%,7.1%,6.4%,6.5%,6.6%,6.2%,7.2%,
2013,9.8%,9.4%,8.6%,8.2%,8.6%,9.1%,9.1%,9%,8.7%,8.9%,8.3%,7.8%,8.8%,
2012,9.9%,10.1%,9.6%,8.9%,9.2%,9.7%,9.9%,9.4%,8.7%,9%,8.5%,9%,9.3%,
2011,9.4%,9.2%,8.6%,8.3%,8.5%,9.1%,9.3%,9.3%,9.2%,9.5%,9.3%,9.3%,9.1%,
2010,10.5%,10.3%,10%,9.5%,9.2%,9.4%,9.7%,9.5%,9.2%,9.2%,9.2%,8.8%,9.5%,
2009,7.9%,8.6%,8.7%,8.3%,8.9%,9.5%,9.9%,10%,10%,10.3%,9.9%,9.9%,9.3%,
2008,5.6%,5.4%,5%,4.5%,5%,5.2%,5.7%,5.9%,5.8%,6.2%,6.3%,6.9%,5.6%,
2007,5.3%,5%,4.5%,4.5%,4.7%,5.1%,5.7%,5.3%,5%,5.1%,4.9%,5.1%,5%,
2006,5.5%,5.7%,5.3%,5.1%,4.9%,4.9%,5.5%,5%,4.5%,4.4%,4.5%,4.4%,5%,
2005,6.2%,6.3%,5.6%,5.5%,5.4%,5.5%,5.9%,5.5%,6%,5.9%,6.1%,5.5%,5.8%,
2004,8.6%,8.1%,8%,7.1%,6.9%,7.2%,7.3%,6.6%,6.4%,6.4%,6.1%,6%,7.1%,
2003,9.1%,8.8%,8.3%,8.1%,8%,8.5%,8.5%,8.3%,8.3%,8.3%,8.2%,7.7%,8.3%,
2002,8.3%,8.2%,8.2%,7.9%,7.6%,7.7%,8%,7.8%,7.5%,8.1%,8.4%,8.5%,8%,
2001,5.6%,5.5%,5.3%,5%,4.8%,5.2%,5.6%,6.1%,6.3%,7%,7.3%,7.5%,5.9%,
2000,6.5%,6.4%,6.3%,5.6%,5.7%,5.5%,5.9%,5.8%,5.4%,5.5%,5.4%,5%,5.8%,
1999,7.6%,7.7%,6.9%,6.7%,6.4%,6.8%,7.3%,6.8%,6.7%,6.5%,6.1%,5.8%,6.8%,
1998,9.1%,9%,8.9%,7.7%,7.6%,7.6%,7.9%,7.6%,7.6%,7.8%,7.5%,7.2%,7.9%,
1997,10.3%,10.3%,10.3%,9.7%,9.5%,9.7%,9.8%,9.3%,9%,8.8%,8.3%,8.1%,9.4%,
1996,8.9%,8.8%,9.1%,8.7%,8.8%,8.4%,9.1%,8.5%,8.3%,8.7%,9%,9.2%,8.8%,
1995,8.3%,8.1%,8.1%,8.2%,8%,8%,8.5%,8.4%,8.2%,8.2%,8%,8%,8.2%,
1994,10.6%,10.2%,9.8%,9.2%,8.6%,8.7%,9%,8.6%,7.9%,8%,7.6%,7.1%,8.8%,
1993,12.3%,11.9%,10.8%,10.1%,10%,10.1%,10.2%,9.9%,9.7%,10.2%,9.9%,9.8%,10.4%,
1992,10.7%,11%,10.6%,10.1%,10.7%,11.5%,11.8%,11.5%,11.3%,11.2%,11.2%,11.3%,11.1%,
1991,8.1%,8.3%,8.4%,8.2%,8.7%,8.7%,8.9%,8.8%,8.6%,9%,9.2%,9.5%,8.7%,
1990,7.2%,7.2%,6.7%,6.4%,6.5%,6.1%,6.9%,6.7%,7%,7.3%,7.2%,7.1%,6.9%,
1989,6.8%,6.6%,6.1%,6.7%,6.7%,6.8%,6.9%,6.7%,6.8%,6.9%,7%,6.7%,6.7%,
1988,5.3%,4.9%,4.7%,4.2%,4.7%,4.5%,5.3%,5.4%,5.3%,5.6%,5.7%,5.7%,5.1%,
1987,6.9%,6.5%,6.1%,5.4%,5.6%,5.5%,5.8%,5.3%,5.1%,5.7%,5.6%,4.9%,5.7%,
1986,7.7%,8.4%,8.1%,7.8%,8%,7.6%,7.4%,6.9%,6.8%,6.8%,6.5%,6%,7.3%,
1985,9.3%,9%,8.8%,8.3%,8.2%,8%,8.1%,7.6%,7.6%,8%,7.5%,7.3%,8.1%,
1984,9.1%,8.9%,8.6%,8.4%,8.4%,8.9%,10%,9.8%,9%,9%,8.4%,8.2%,8.9%,
1983,10.2%,10.1%,10%,9.4%,9.5%,10.1%,10%,10.1%,9.5%,9.1%,8.6%,8.5%,9.6%,
1982,9.4%,9.5%,9.3%,8.9%,9.2%,9.4%,9.9%,9.5%,9.3%,9.6%,9.8%,9.7%,9.5%,
1981,9.4%,9.4%,9.4%,8.7%,9%,9%,8.9%,8.4%,8.2%,8.7%,8.9%,9%,8.9%,
1980,9%,8.7%,8.1%,8.3%,8.4%,8.4%,9%,8.7%,8.3%,8.6%,8.5%,8.1%,8.5%,
1979,8.8%,9%,8.8%,8.3%,8.3%,9.1%,9.4%,9.4%,8.8%,8.8%,8.3%,7.9%,8.8%,
1978,10.1%,9.8%,9.3%,8.6%,8.5%,8.8%,9.4%,8.9%,9.1%,8.9%,8.8%,8.4%,9%,
1977,11%,10.7%,10.5%,9.4%,8.9%,10.2%,10.3%,10.4%,10.3%,10.2%,10.4%,9.3%,10.1%,
1976,11.5%,11.6%,10.7%,10.3%,9.9%,11.3%,11.9%,11.6%,11.1%,11%,11.1%,10.7%,11.1%,
